UNITID,EFALEVEL,LINE,SECTION,LSTUDY,XEFTOTLT,EFTOTLT,XEFTOTLM,EFTOTLM,XEFTOTLW,EFTOTLW,XEFAIANT,EFAIANT,XEFAIANM,EFAIANM,XEFAIANW,EFAIANW,XEFASIAT,EFASIAT,XEFASIAM,EFASIAM,XEFASIAW,EFASIAW,XEFBKAAT,EFBKAAT,XEFBKAAM,EFBKAAM,XEFBKAAW,EFBKAAW,XEFHISPT,EFHISPT,XEFHISPM,EFHISPM,XEFHISPW,EFHISPW,XEFNHPIT,EFNHPIT,XEFNHPIM,EFNHPIM,XEFNHPIW,EFNHPIW,XEFWHITT,EFWHITT,XEFWHITM,EFWHITM,XEFWHITW,EFWHITW,XEF2MORT,EF2MORT,XEF2MORM,EF2MORM,XEF2MORW,EF2MORW,XEFUNKNT,EFUNKNT,XEFUNKNM,EFUNKNM,XEFUNKNW,EFUNKNW,XEFNRALT,EFNRALT,XEFNRALM,EFNRALM,XEFNRALW,EFNRALW,XEFGNDRUN,EFGNDRUN,XEFGNDRAN,EFGNDRAN,XEFGNDRUA,EFGNDRUA,XEFGNDRKN,EFGNDRKN
133881,60,17,2,1,R,113,R,92,R,21,R,1,R,1,Z,0,R,2,R,1,R,1,R,8,R,7,R,1,R,17,R,13,R,4,Z,0,Z,0,Z,0,R,55,R,46,R,9,R,4,R,2,R,2,R,2,R,2,Z,0,R,24,R,20,R,4,A,,A,,A,,A,
133951,1,29,3,4,R,54723,R,23872,R,30851,R,24,R,10,R,14,R,1545,R,674,R,871,R,6183,R,2246,R,3937,R,35483,R,15554,R,19929,R,25,R,13,R,12,R,5313,R,2400,R,2913,R,1097,R,438,R,659,R,419,R,206,R,213,R,4634,R,2331,R,2303,R,20,A,,R,20,R,54703
133951,2,99,3,1,R,45193,R,20242,R,24951,R,16,R,7,R,9,R,1209,R,551,R,658,R,4974,R,1924,R,3050,R,30692,R,13836,R,16856,R,24,R,13,R,11,R,3876,R,1826,R,2050,R,887,R,368,R,519,R,312,R,156,R,156,R,3203,R,1561,R,1642,R,7,A,,R,7,R,45186
133951,3,99,3,1,R,39508,R,17661,R,21847,R,15,R,6,R,9,R,1091,R,494,R,597,R,4305,R,1676,R,2629,R,27041,R,12148,R,14893,R,21,R,12,R,9,R,3348,R,1610,R,1738,R,808,R,339,R,469,R,232,R,112,R,120,R,2647,R,1264,R,1383,A,,A,,A,,A,
133951,4,99,3,1,R,5238,R,2285,R,2953,R,2,R,1,R,1,R,178,R,74,R,104,R,444,R,168,R,276,R,3883,R,1716,R,2167,R,2,R,1,R,1,R,400,R,182,R,218,R,80,R,31,R,49,R,51,R,29,R,22,R,198,R,83,R,115,A,,A,,A,,A,
133951,5,99,3,1,R,34270,R,15376,R,18894,R,13,R,5,R,8,R,913,R,420,R,493,R,3861,R,1508,R,2353,R,23158,R,10432,R,12726,R,19,R,11,R,8,R,2948,R,1428,R,1520,R,728,R,308,R,420,R,181,R,83,R,98,R,2449,R,1181,R,1268,A,,A,,A,,A,
133951,11,99,3,1,R,5685,R,2581,R,3104,R,1,R,1,R,0,R,118,R,57,R,61,R,669,R,248,R,421,R,3651,R,1688,R,1963,R,3,R,1,R,2,R,528,R,216,R,312,R,79,R,29,R,50,R,80,R,44,R,36,R,556,R,297,R,259,A,,A,,A,,A,
133951,12,99,3,3,R,9530,R,3630,R,5900,R,8,R,3,R,5,R,336,R,123,R,213,R,1209,R,322,R,887,R,4791,R,1718,R,3073,R,1,R,0,R,1,R,1437,R,574,R,863,R,210,R,70,R,140,R,107,R,50,R,57,R,1431,R,770,R,661,R,13,A,,R,13,R,9517
133951,19,99,3,1,R,4600,R,1976,R,2624,R,2,R,1,R,1,R,110,R,54,R,56,R,650,R,242,R,408,R,2884,R,1268,R,1616,R,4,R,2,R,2,R,485,R,218,R,267,R,116,R,40,R,76,R,33,R,15,R,18,R,316,R,136,R,180,A,,A,,A,,A,
133951,20,99,3,1,R,29670,R,13400,R,16270,R,11,R,4,R,7,R,803,R,366,R,437,R,3211,R,1266,R,1945,R,20274,R,9164,R,11110,R,15,R,9,R,6,R,2463,R,1210,R,1253,R,612,R,268,R,344,R,148,R,68,R,80,R,2133,R,1045,R,1088,A,,A,,A,,A,
133951,21,14,1,4,R,34489,R,14514,R,19975,R,16,R,8,R,8,R,1044,R,438,R,606,R,3710,R,1264,R,2446,R,21386,R,8911,R,12475,R,13,R,5,R,8,R,3338,R,1466,R,1872,R,692,R,259,R,433,R,235,R,110,R,125,R,4055,R,2053,R,2002,A,,A,,A,,A,
133951,22,8,1,1,R,27242,R,11744,R,15498,R,10,R,5,R,5,R,772,R,338,R,434,R,2858,R,1040,R,1818,R,17927,R,7698,R,10229,R,12,R,5,R,7,R,2200,R,1006,R,1194,R,536,R,208,R,328,R,164,R,79,R,85,R,2763,R,1365,R,1398,A,,A,,A,,A,
133951,23,6,1,1,R,26215,R,11229,R,14986,R,10,R,5,R,5,R,748,R,327,R,421,R,2791,R,1021,R,1770,R,17597,R,7542,R,10055,R,12,R,5,R,7,R,2131,R,977,R,1154,R,529,R,205,R,324,R,157,R,75,R,82,R,2240,R,1072,R,1168,A,,A,,A,,A,
133951,24,1,1,1,R,3511,R,1422,R,2089,R,2,R,1,R,1,R,123,R,47,R,76,R,242,R,84,R,158,R,2608,R,1065,R,1543,R,1,R,0,R,1,R,285,R,116,R,169,R,55,R,20,R,35,R,35,R,20,R,15,R,160,R,69,R,91,A,,A,,A,,A,
133951,25,99,1,1,R,22704,R,9807,R,12897,R,8,R,4,R,4,R,625,R,280,R,345,R,2549,R,937,R,1612,R,14989,R,6477,R,8512,R,11,R,5,R,6,R,1846,R,861,R,985,R,474,R,185,R,289,R,122,R,55,R,67,R,2080,R,1003,R,1077,A,,A,,A,,A,
133951,31,7,1,1,R,1027,R,515,R,512,R,0,R,0,R,0,R,24,R,11,R,13,R,67,R,19,R,48,R,330,R,156,R,174,R,0,R,0,R,0,R,69,R,29,R,40,R,7,R,3,R,4,R,7,R,4,R,3,R,523,R,293,R,230,A,,A,,A,,A,
133951,32,11,1,3,R,7247,R,2770,R,4477,R,6,R,3,R,3,R,272,R,100,R,172,R,852,R,224,R,628,R,3459,R,1213,R,2246,R,1,R,0,R,1,R,1138,R,460,R,678,R,156,R,51,R,105,R,71,R,31,R,40,R,1292,R,688,R,604,A,,A,,A,,A,
133951,39,2,1,1,R,2981,R,1264,R,1717,R,2,R,1,R,1,R,80,R,40,R,40,R,428,R,152,R,276,R,1780,R,769,R,1011,R,4,R,2,R,2,R,316,R,146,R,170,R,78,R,27,R,51,R,19,R,9,R,10,R,274,R,118,R,156,A,,A,,A,,A,
