Group,High_mean,Open_mean,t,p,d
Overall,0.8415666772544452,0.5493184889866076,19.19033680755208,1.6230161477371518e-40,1.8503991064925356
White,0.8590516040385384,0.5839081388256021,19.533025574513463,1.1067560554266758e-41,1.791990892889404
Black,0.8178022500992845,0.41379909260389525,21.462408990227598,2.0149030871396857e-44,2.101568905838936
Hispanic,0.8017753811232226,0.49291169284772973,13.127204035828543,4.988056403984691e-25,1.4162588055181111
Asian,0.8924076174895806,0.5982451356554304,18.88715662907364,1.2927376950068666e-44,1.4302345131527365
